period,portfolio_version,evaluation_type,evidence_class,indexed_return,benchmark_return,net_return,volatility,maximum_drawdown,positive_period_probability,turnover,observation_count,data_freshness_date,status
2025-01,Public Demo Portfolio,scenario,synthetic,-2.1061,-3.0562,-2.1061,10.2824,-2.3271,39.13,0.0,23,2025-01-31,complete
2025-02,Public Demo Portfolio,scenario,synthetic,-7.4005,-7.4488,-5.4083,12.4201,-6.7464,30.0,0.7604,20,2025-02-28,complete
2025-03,Public Demo Portfolio,scenario,synthetic,-11.805,-12.297,-4.7565,12.4246,-5.3536,47.62,0.8351,21,2025-03-31,complete
2025-04,Public Demo Portfolio,scenario,synthetic,-8.8529,-9.2317,3.3472,10.5244,-2.0877,59.09,0.734,22,2025-04-30,complete
2025-05,Public Demo Portfolio,scenario,synthetic,-12.1394,-10.3075,-3.6057,11.4307,-3.7064,45.45,0.5176,22,2025-05-30,complete
2025-06,Public Demo Portfolio,scenario,synthetic,-12.2285,-6.7832,-0.1014,10.8349,-2.1479,61.9,0.2145,21,2025-06-30,complete
2025-07,Public Demo Portfolio,scenario,synthetic,-13.3595,-7.9544,-1.2886,9.9716,-3.9653,47.83,0.4157,23,2025-07-31,complete
2025-08,Public Demo Portfolio,scenario,synthetic,-9.7008,-4.1032,4.2229,10.2194,-1.786,61.9,0.7842,21,2025-08-29,complete
2025-09,Public Demo Portfolio,scenario,synthetic,-7.3657,-0.5489,2.586,12.4213,-2.0763,54.55,0.9335,22,2025-09-30,complete
2025-10,Public Demo Portfolio,scenario,synthetic,-10.936,-1.8763,-3.8542,12.4522,-6.0052,43.48,0.8164,23,2025-10-31,complete
2025-11,Public Demo Portfolio,scenario,synthetic,-9.6139,0.2919,1.4844,10.0772,-1.7413,65.0,0.5439,20,2025-11-28,complete
2025-12,Public Demo Portfolio,scenario,synthetic,-12.5454,-2.5746,-3.2433,12.7694,-3.183,39.13,0.2266,23,2025-12-31,complete
