table_name,field_name,data_type,grain,definition,calculation_level,unit,allowed_values,null_rule,evidence_class_rule,business_use,caveat
portfolio_performance_summary.csv,period,str,"one row per period, portfolio version, evaluation type, and evidence class",Calendar month or stated evaluation window,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,portfolio_version,str,"one row per period, portfolio version, evaluation type, and evidence class",Generic public portfolio label,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,evaluation_type,str,"one row per period, portfolio version, evaluation type, and evidence class",Type of evaluation or scenario,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,evidence_class,str,"one row per period, portfolio version, evaluation type, and evidence class",Classification of the public evidence used,aggregate,text_or_field_specific,"synthetic, mock, modeled, observed_aggregate",not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,indexed_return,float64,"one row per period, portfolio version, evaluation type, and evidence class",Cumulative net change from an index starting at 100,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,benchmark_return,float64,"one row per period, portfolio version, evaluation type, and evidence class",Cumulative benchmark change over the same dates,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,net_return,float64,"one row per period, portfolio version, evaluation type, and evidence class",Periodic return after disclosed modeled costs,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,volatility,float64,"one row per period, portfolio version, evaluation type, and evidence class",Annualized standard deviation of valid daily returns,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,maximum_drawdown,float64,"one row per period, portfolio version, evaluation type, and evidence class",Largest peak-to-trough decline in the period,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,positive_period_probability,float64,"one row per period, portfolio version, evaluation type, and evidence class",Valid positive observations divided by valid observations,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,turnover,float64,"one row per period, portfolio version, evaluation type, and evidence class",Half the sum of absolute allocation changes from the prior period,aggregate,percent,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,observation_count,int64,"one row per period, portfolio version, evaluation type, and evidence class",Valid observations used in the calculation,aggregate,count,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,data_freshness_date,str,"one row per period, portfolio version, evaluation type, and evidence class",Latest observation included in the period,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
portfolio_performance_summary.csv,status,str,"one row per period, portfolio version, evaluation type, and evidence class",Status,aggregate,text_or_field_specific,table-specific documented status,not null,synthetic unless explicitly approved otherwise,"Track performance, risk, costs, and exceptions by month",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,period,str,"one row per period, asset group, and allocation band",Calendar month or stated evaluation window,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
asset_allocation_summary.csv,asset_group,str,"one row per period, asset group, and allocation band",Generic public asset category,aggregate,text_or_field_specific,See contract or observed public values,not null,synthetic unless explicitly approved otherwise,"Compare contribution, risk, and concentration by group",Public demonstration data; not live performance or investment advice
