period,asset_group,allocation_band,evidence_class,contribution_to_return,contribution_to_risk,volatility,positive_period_probability,concentration_share,diversification_score,observation_count,status
2025-01,Defensive,Medium,synthetic,-0.8941,17.5266,9.5108,39.13,25.06,73.35,23,complete
2025-01,Diversifier,Low,synthetic,0.155,4.0002,9.6708,52.17,15.72,73.35,23,complete
2025-01,Growth,High,synthetic,0.1982,67.5791,21.2527,47.83,33.89,73.35,23,complete
2025-01,Income,Medium,synthetic,-1.3566,10.8941,8.6264,34.78,25.32,73.35,23,complete
2025-02,Defensive,Medium,synthetic,-1.3683,11.0124,7.8904,40.0,25.27,73.14,20,complete
2025-02,Diversifier,Low,synthetic,-0.179,3.7259,10.0374,50.0,15.16,73.14,20,complete
2025-02,Growth,High,synthetic,-3.4595,72.1104,26.6747,25.0,34.44,73.14,20,complete
2025-02,Income,Medium,synthetic,-0.3274,13.1513,8.491,45.0,25.12,73.14,20,complete
2025-03,Defensive,Medium,synthetic,-0.6695,17.3899,10.8883,47.62,25.43,72.88,21,complete
2025-03,Diversifier,Low,synthetic,-0.8122,3.3338,10.8002,38.1,14.56,72.88,21,complete
2025-03,Growth,High,synthetic,-2.3943,65.1205,24.8123,42.86,35.12,72.88,21,complete
2025-03,Income,Medium,synthetic,-0.7623,14.1559,9.0042,38.1,24.89,72.88,21,complete
2025-04,Defensive,Medium,synthetic,0.4233,13.7241,8.2598,54.55,25.48,72.63,22,complete
2025-04,Diversifier,Low,synthetic,0.0012,5.0906,9.8613,50.0,14.04,72.63,22,complete
2025-04,Growth,High,synthetic,2.8102,67.2506,20.4454,54.55,35.8,72.63,22,complete
2025-04,Income,Medium,synthetic,0.2823,13.9347,8.1759,59.09,24.68,72.63,22,complete
2025-05,Defensive,Medium,synthetic,-0.102,19.9852,10.9719,50.0,25.42,72.44,22,complete
2025-05,Diversifier,Low,synthetic,0.0839,5.6097,9.1412,31.82,13.73,72.44,22,complete
2025-05,Growth,High,synthetic,-3.6822,60.4557,20.4446,31.82,36.32,72.44,22,complete
2025-05,Income,Medium,synthetic,0.2616,13.9493,8.8047,54.55,24.53,72.44,22,complete
2025-06,Defensive,Medium,synthetic,0.8589,19.1378,12.1443,61.9,25.25,72.39,21,complete
2025-06,Diversifier,Low,synthetic,-1.2481,6.4135,9.2129,14.29,13.72,72.39,21,complete
2025-06,Growth,High,synthetic,0.5406,58.0839,18.5477,66.67,36.53,72.39,21,complete
2025-06,Income,Medium,synthetic,-0.0382,16.3648,8.9241,57.14,24.49,72.39,21,complete
2025-07,Defensive,Medium,synthetic,0.2541,24.6174,11.7044,43.48,25.01,72.51,23,complete
2025-07,Diversifier,Low,synthetic,0.444,4.0787,9.9976,60.87,14.04,72.51,23,complete
2025-07,Growth,High,synthetic,-1.9126,55.3925,16.0794,43.48,36.36,72.51,23,complete
2025-07,Income,Medium,synthetic,0.1454,15.9114,9.4913,60.87,24.59,72.51,23,complete
2025-08,Defensive,Medium,synthetic,0.951,16.2204,9.5133,52.38,24.75,72.75,21,complete
2025-08,Diversifier,Low,synthetic,-0.2328,5.5507,13.4923,42.86,14.62,72.75,21,complete
2025-08,Growth,High,synthetic,3.3786,66.8569,20.1297,61.9,35.83,72.75,21,complete
2025-08,Income,Medium,synthetic,0.2528,11.3719,7.8284,57.14,24.79,72.75,21,complete
2025-09,Defensive,Medium,synthetic,0.9511,14.8343,11.4464,54.55,24.57,73.04,22,complete
2025-09,Diversifier,Low,synthetic,0.1952,8.9342,14.5657,59.09,15.3,73.04,22,complete
2025-09,Growth,High,synthetic,0.492,66.925,24.9794,40.91,35.09,73.04,22,complete
2025-09,Income,Medium,synthetic,1.1563,9.3066,7.8449,63.64,25.05,73.04,22,complete
2025-10,Defensive,Medium,synthetic,-1.8297,19.6624,12.3939,43.48,24.49,73.29,23,complete
2025-10,Diversifier,Low,synthetic,-0.7955,6.3085,9.1151,39.13,15.88,73.29,23,complete
2025-10,Growth,High,synthetic,0.1092,59.9302,23.3548,47.83,34.34,73.29,23,complete
2025-10,Income,Medium,synthetic,-1.1593,14.0988,9.019,43.48,25.28,73.29,23,complete
2025-11,Defensive,Medium,synthetic,-0.3124,24.696,12.2254,40.0,24.55,73.45,20,complete
2025-11,Diversifier,Low,synthetic,0.7253,4.7214,8.8568,70.0,16.22,73.45,20,complete
2025-11,Growth,High,synthetic,1.4539,64.4922,20.2049,70.0,33.8,73.45,20,complete
2025-11,Income,Medium,synthetic,-0.1945,6.0904,7.3984,50.0,25.44,73.45,20,complete
2025-12,Defensive,Medium,synthetic,-0.9071,17.7065,12.3469,34.78,24.71,73.49,23,complete
2025-12,Diversifier,Low,synthetic,-0.252,5.2657,12.2916,43.48,16.24,73.49,23,complete
2025-12,Growth,High,synthetic,-1.4093,59.9342,24.0316,47.83,33.57,73.49,23,complete
2025-12,Income,Medium,synthetic,-0.4711,17.0936,10.9053,39.13,25.48,73.49,23,complete
