period,asset_group,metric_name,metric_value,unit,observation_count,evidence_class,interpretation_note
2025-01,Defensive,mean_return,-0.155128,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,median_return,-0.165043,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,standard_deviation,0.599123,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,variance,0.358948,percent_squared,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,minimum_return,-1.609707,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,maximum_return,1.222078,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,percentile_25,-0.470453,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,percentile_75,0.224748,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,positive_period_probability,39.130435,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,negative_period_probability,60.869565,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,annualized_volatility,9.510782,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,downside_volatility,6.688139,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,drawdown_frequency,95.652174,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,maximum_drawdown,-4.638644,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Defensive,average_absolute_correlation,0.329991,coefficient,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,mean_return,0.042871,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,median_return,0.085038,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,standard_deviation,0.609202,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,variance,0.371127,percent_squared,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,minimum_return,-1.001803,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,maximum_return,0.895267,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,percentile_25,-0.423714,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,percentile_75,0.625937,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,positive_period_probability,52.173913,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,negative_period_probability,47.826087,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,annualized_volatility,9.670778,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,downside_volatility,4.284134,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,drawdown_frequency,65.217391,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,maximum_drawdown,-1.423145,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Diversifier,average_absolute_correlation,0.165108,coefficient,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,mean_return,0.025427,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,median_return,-0.029195,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,standard_deviation,1.338796,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,variance,1.792375,percent_squared,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,minimum_return,-3.119552,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,maximum_return,3.738131,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,percentile_25,-0.733055,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,percentile_75,0.70346,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,positive_period_probability,47.826087,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,negative_period_probability,52.173913,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,annualized_volatility,21.252726,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,downside_volatility,12.766171,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,drawdown_frequency,73.913043,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,maximum_drawdown,-3.844922,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Growth,average_absolute_correlation,0.419013,coefficient,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,mean_return,-0.232911,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,median_return,-0.190422,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,standard_deviation,0.543412,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,variance,0.295296,percent_squared,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,minimum_return,-1.573514,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,maximum_return,0.673292,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,percentile_25,-0.547227,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,percentile_75,0.195548,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,positive_period_probability,34.782609,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,negative_period_probability,65.217391,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,annualized_volatility,8.626392,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,downside_volatility,6.329394,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,drawdown_frequency,95.652174,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,maximum_drawdown,-5.350599,percent,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-01,Income,average_absolute_correlation,0.309645,coefficient,23,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,mean_return,-0.2707,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,median_return,-0.304656,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,standard_deviation,0.497052,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,variance,0.24706,percent_squared,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,minimum_return,-1.115025,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,maximum_return,0.711819,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,percentile_25,-0.652071,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,percentile_75,0.041933,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,positive_period_probability,40.0,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,negative_period_probability,60.0,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,annualized_volatility,7.890448,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,downside_volatility,4.845075,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,drawdown_frequency,95.0,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,maximum_drawdown,-5.066047,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Defensive,average_absolute_correlation,0.357126,coefficient,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,mean_return,-0.059019,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,median_return,-0.027302,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,standard_deviation,0.632296,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,variance,0.399798,percent_squared,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,minimum_return,-1.150435,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,maximum_return,0.878573,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,percentile_25,-0.58419,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,percentile_75,0.501201,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,positive_period_probability,50.0,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,negative_period_probability,50.0,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,annualized_volatility,10.037389,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,downside_volatility,4.97286,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,drawdown_frequency,90.0,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,maximum_drawdown,-2.341573,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Diversifier,average_absolute_correlation,0.17514,coefficient,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Growth,mean_return,-0.502256,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Growth,median_return,-0.513606,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Growth,standard_deviation,1.680348,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Growth,variance,2.823569,percent_squared,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Growth,minimum_return,-3.030759,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Growth,maximum_return,4.286879,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Growth,percentile_25,-1.434345,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
2025-02,Growth,percentile_75,0.037001,percent,20,synthetic,Descriptive synthetic result; compare with other groups and periods.
