month,asset_id,asset_group,average_weight_pct,return_sum_pct,contribution_to_return_pct,annualized_volatility_pct
2025-01,ASSET_A,"Growth Equity",35.0,4.33,1.51,15.24
2025-01,ASSET_B,"Quality Equity",30.0,4.11,1.23,19.02
2025-01,ASSET_D,Diversifier,15.0,1.95,0.29,22.54
2025-01,ASSET_C,"Defensive Equity",20.0,1.18,0.24,21.73
2025-02,ASSET_C,"Defensive Equity",20.0,1.86,0.37,21.61
2025-02,ASSET_D,Diversifier,15.0,2.0,0.3,22.58
2025-02,ASSET_A,"Growth Equity",35.0,0.42,0.15,17.18
2025-02,ASSET_B,"Quality Equity",30.0,-0.33,-0.1,20.31
2025-03,ASSET_A,"Growth Equity",35.0,1.93,0.68,16.49
2025-03,ASSET_B,"Quality Equity",30.0,2.04,0.61,19.67
2025-03,ASSET_C,"Defensive Equity",20.0,2.25,0.45,21.57
2025-03,ASSET_D,Diversifier,15.0,0.47,0.07,22.58
2025-04,ASSET_A,"Growth Equity",35.0,4.2,1.47,15.25
2025-04,ASSET_B,"Quality Equity",30.0,1.23,0.37,19.89
2025-04,ASSET_D,Diversifier,15.0,1.92,0.29,22.57
2025-04,ASSET_C,"Defensive Equity",20.0,1.16,0.23,21.73
2025-05,ASSET_A,"Growth Equity",35.0,1.86,0.65,16.49
2025-05,ASSET_B,"Quality Equity",30.0,2.01,0.6,19.66
2025-05,ASSET_D,Diversifier,15.0,0.44,0.07,22.61
2025-05,ASSET_C,"Defensive Equity",20.0,-0.6,-0.12,21.95
2025-06,ASSET_C,"Defensive Equity",20.0,2.91,0.58,21.44
2025-06,ASSET_D,Diversifier,15.0,3.36,0.5,22.48
2025-06,ASSET_A,"Growth Equity",35.0,0.79,0.28,16.94
2025-06,ASSET_B,"Quality Equity",30.0,0.39,0.12,20.1
