period,asset_group,cue_family_code,cue_family_name,decision_label,intensity_band,filter_gate_result,evaluation_type,evidence_class,status,observation_count
2025-01,Defensive,A,Short-cycle structure,Hold,2/3,pass,scenario,synthetic,complete,1
2025-01,Defensive,A,Short-cycle structure,Sell,1/3,pass,scenario,synthetic,complete,1
2025-01,Defensive,A,Short-cycle structure,Warning Short,3/3,pass,scenario,synthetic,complete,1
2025-01,Defensive,B,Fast confirmation,Hold,1/3,hold,scenario,synthetic,complete,1
2025-01,Defensive,B,Fast confirmation,Hold,1/3,pass,scenario,synthetic,complete,1
2025-01,Defensive,B,Fast confirmation,Sell,1/3,hold,scenario,synthetic,complete,1
2025-01,Defensive,C,Consistency cross-check,Buy,3/3,hold,scenario,synthetic,complete,1
2025-01,Defensive,C,Consistency cross-check,Hold,1/3,hold,scenario,synthetic,complete,1
2025-01,Defensive,C,Consistency cross-check,Wait Sell,1/3,pass,scenario,synthetic,complete,1
2025-01,Defensive,D,Distance warning band,Hold,2/3,fail,scenario,synthetic,complete,1
2025-01,Defensive,D,Distance warning band,Warning Short,1/3,pass,scenario,synthetic,complete,2
2025-01,Defensive,E,Multi-horizon context,Buy,1/3,hold,scenario,synthetic,complete,1
2025-01,Defensive,E,Multi-horizon context,Hold,1/3,pass,scenario,synthetic,complete,1
2025-01,Defensive,E,Multi-horizon context,Wait Sell,2/3,hold,scenario,synthetic,complete,1
2025-01,Diversifier,A,Short-cycle structure,Hold,2/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,A,Short-cycle structure,Wait Buy,1/3,hold,scenario,synthetic,complete,1
2025-01,Diversifier,A,Short-cycle structure,Warning Short,3/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,B,Fast confirmation,Hold,1/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,B,Fast confirmation,Warning Long,1/3,hold,scenario,synthetic,complete,1
2025-01,Diversifier,B,Fast confirmation,Warning Short,1/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,C,Consistency cross-check,Buy,1/3,hold,scenario,synthetic,complete,1
2025-01,Diversifier,C,Consistency cross-check,Sell,1/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,C,Consistency cross-check,Warning Long,1/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,D,Distance warning band,Wait Buy,3/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,D,Distance warning band,Warning Long,2/3,hold,scenario,synthetic,complete,1
2025-01,Diversifier,D,Distance warning band,Warning Short,1/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,E,Multi-horizon context,Buy,2/3,pass,scenario,synthetic,complete,1
2025-01,Diversifier,E,Multi-horizon context,Wait Buy,2/3,fail,scenario,synthetic,complete,1
2025-01,Diversifier,E,Multi-horizon context,Warning Short,1/3,hold,scenario,synthetic,complete,1
2025-01,Growth,A,Short-cycle structure,Hold,1/3,hold,scenario,synthetic,complete,1
2025-01,Growth,A,Short-cycle structure,Wait Buy,2/3,hold,scenario,synthetic,complete,1
2025-01,Growth,A,Short-cycle structure,Wait Sell,1/3,hold,scenario,synthetic,complete,1
2025-01,Growth,B,Fast confirmation,Wait Buy,1/3,hold,scenario,synthetic,complete,1
2025-01,Growth,B,Fast confirmation,Wait Sell,2/3,pass,scenario,synthetic,complete,1
2025-01,Growth,B,Fast confirmation,Warning Long,1/3,fail,scenario,synthetic,complete,1
2025-01,Growth,C,Consistency cross-check,Hold,1/3,fail,scenario,synthetic,complete,1
2025-01,Growth,C,Consistency cross-check,Hold,1/3,pass,scenario,synthetic,complete,1
2025-01,Growth,C,Consistency cross-check,Wait Buy,3/3,pass,scenario,synthetic,complete,1
2025-01,Growth,D,Distance warning band,Wait Buy,1/3,pass,scenario,synthetic,complete,1
2025-01,Growth,D,Distance warning band,Wait Sell,3/3,fail,scenario,synthetic,complete,1
2025-01,Growth,D,Distance warning band,Warning Short,1/3,hold,scenario,synthetic,complete,1
2025-01,Growth,E,Multi-horizon context,Hold,1/3,fail,scenario,synthetic,complete,1
2025-01,Growth,E,Multi-horizon context,Warning Short,2/3,pass,scenario,synthetic,complete,2
2025-01,Income,A,Short-cycle structure,Buy,2/3,hold,scenario,synthetic,complete,1
2025-01,Income,A,Short-cycle structure,Wait Buy,2/3,hold,scenario,synthetic,complete,1
2025-01,Income,A,Short-cycle structure,Wait Buy,2/3,pass,scenario,synthetic,complete,1
